ORF	Gene	gene_set	set_label
YGL130W	CEG1	mRNA 5' capping	curated_processes
YPL228W	CET1	mRNA 5' capping	curated_processes
YDR370C	DXO1	mRNA 5' capping	curated_processes
YKL139W	CTK1	3' end mRNA processing	curated_processes
YJL006C	CTK2	3' end mRNA processing	curated_processes
YML112W	CTK3	3' end mRNA processing	curated_processes
YER032W	FIR1	3' end mRNA processing	curated_processes
YOL123W	HRP1	3' end mRNA processing	curated_processes
YKL059C	MPE1	3' end mRNA processing	curated_processes
YPL190C	NAB3	3' end mRNA processing	curated_processes
YNL251C	NRD1	3' end mRNA processing	curated_processes
YER165W	PAB1	3' end mRNA processing	curated_processes
YKR002W	PAP1	3' end mRNA processing	curated_processes
YDR228C	PCF11	3' end mRNA processing	curated_processes
YNL317W	PFS2	3' end mRNA processing	curated_processes
YAL043C	PTA1	3' end mRNA processing	curated_processes
YGR156W	PTI1	3' end mRNA processing	curated_processes
YDR195W	REF2	3' end mRNA processing	curated_processes
YMR061W	RNA14	3' end mRNA processing	curated_processes
YGL044C	RNA15	3' end mRNA processing	curated_processes
YGR276C	RNH70	3' end mRNA processing	curated_processes
YJL140W	RPB4	3' end mRNA processing	curated_processes
YDR404C	RPB7	3' end mRNA processing	curated_processes
YOR179C	SYC1	3' end mRNA processing	curated_processes
YDR381W	YRA1	3' end mRNA processing	curated_processes
YLR277C	YSH1	3' end mRNA processing	curated_processes
YPR107C	YTH1	3' end mRNA processing	curated_processes
YBL074C	AAR2	mRNA maturation	curated_processes
YDL074C	BRE1	mRNA maturation	curated_processes
YPR057W	BRR1	mRNA maturation	curated_processes
YGL174W	BUD13	mRNA maturation	curated_processes
YCR063W	BUD31	mRNA maturation	curated_processes
YHL038C	CBP2	mRNA maturation	curated_processes
YDR364C	CDC40	mRNA maturation	curated_processes
YGL130W	CEG1	mRNA maturation	curated_processes
YPL228W	CET1	mRNA maturation	curated_processes
YKL139W	CTK1	mRNA maturation	curated_processes
YJL006C	CTK2	mRNA maturation	curated_processes
YML112W	CTK3	mRNA maturation	curated_processes
YDR163W	CWC15	mRNA maturation	curated_processes
YDR482C	CWC21	mRNA maturation	curated_processes
YGR278W	CWC22	mRNA maturation	curated_processes
YGL128C	CWC23	mRNA maturation	curated_processes
YNL245C	CWC25	mRNA maturation	curated_processes
YPL064C	CWC27	mRNA maturation	curated_processes
YKL149C	DBR1	mRNA maturation	curated_processes
YPR082C	DIB1	mRNA maturation	curated_processes
YGR093W	DRN1	mRNA maturation	curated_processes
YDR370C	DXO1	mRNA maturation	curated_processes
YBR065C	ECM2	mRNA maturation	curated_processes
YBR102C	EXO84	mRNA maturation	curated_processes
YER032W	FIR1	mRNA maturation	curated_processes
YOL123W	HRP1	mRNA maturation	curated_processes
YOR319W	HSH49	mRNA maturation	curated_processes
YIR005W	IST3	mRNA maturation	curated_processes
YJR050W	ISY1	mRNA maturation	curated_processes
YHR156C	LIN1	mRNA maturation	curated_processes
LSR1	LSR1	mRNA maturation	curated_processes
YDL087C	LUC7	mRNA maturation	curated_processes
YNL210W	MER1	mRNA maturation	curated_processes
YKL059C	MPE1	mRNA maturation	curated_processes
YPL184C	MRN1	mRNA maturation	curated_processes
YIR021W	MRS1	mRNA maturation	curated_processes
YIR009W	MSL1	mRNA maturation	curated_processes
YLR116W	MSL5	mRNA maturation	curated_processes
YBR119W	MUD1	mRNA maturation	curated_processes
YKL074C	MUD2	mRNA maturation	curated_processes
YPL190C	NAB3	mRNA maturation	curated_processes
YHR086W	NAM8	mRNA maturation	curated_processes
YDR432W	NPL3	mRNA maturation	curated_processes
YNL251C	NRD1	mRNA maturation	curated_processes
YER165W	PAB1	mRNA maturation	curated_processes
YKR002W	PAP1	mRNA maturation	curated_processes
YDR228C	PCF11	mRNA maturation	curated_processes
YNL317W	PFS2	mRNA maturation	curated_processes
YKR086W	PRP16	mRNA maturation	curated_processes
YLL036C	PRP19	mRNA maturation	curated_processes
YNR011C	PRP2	mRNA maturation	curated_processes
YER013W	PRP22	mRNA maturation	curated_processes
YGL120C	PRP43	mRNA maturation	curated_processes
YAL032C	PRP45	mRNA maturation	curated_processes
YHR165C	PRP8	mRNA maturation	curated_processes
YDL030W	PRP9	mRNA maturation	curated_processes
YAL043C	PTA1	mRNA maturation	curated_processes
YGR156W	PTI1	mRNA maturation	curated_processes
YPR094W	RDS3	mRNA maturation	curated_processes
YDR195W	REF2	mRNA maturation	curated_processes
YMR061W	RNA14	mRNA maturation	curated_processes
YGL044C	RNA15	mRNA maturation	curated_processes
YGR276C	RNH70	mRNA maturation	curated_processes
YJL140W	RPB4	mRNA maturation	curated_processes
YDR404C	RPB7	mRNA maturation	curated_processes
YML049C	RSE1	mRNA maturation	curated_processes
YFR005C	SAD1	mRNA maturation	curated_processes
YDR088C	SLU7	mRNA maturation	curated_processes
YIL061C	SNP1	mRNA maturation	curated_processes
snR6	SNR6	mRNA maturation	curated_processes
YKL173W	SNU114	mRNA maturation	curated_processes
YEL026W	SNU13	mRNA maturation	curated_processes
YDL098C	SNU23	mRNA maturation	curated_processes
YDR240C	SNU56	mRNA maturation	curated_processes
YOR308C	SNU66	mRNA maturation	curated_processes
