ORF	term
YIL038C	CCR4-NOT core complex
YNL288W	CCR4-NOT core complex
YNR052C	CCR4-NOT core complex
YPR072W	CCR4-NOT core complex
YAL021C	Cdc73p/Paf1p complex
YBR279W	Cdc73p/Paf1p complex
YDR138W	Cdc73p/Paf1p complex
YGL244W	Cdc73p/Paf1p complex
YLR418C	Cdc73p/Paf1p complex
YOL145C	Cdc73p/Paf1p complex
YOR123C	Cdc73p/Paf1p complex
YAL020C	cell budding
YBL085W	cell budding
YBR109C	cell budding
YBR160W	cell budding
YBR210W	cell budding
YBR267W	cell budding
YCL014W	cell budding
YCL024W	cell budding
YCR038C	cell budding
YDL134C	cell budding
YDL188C	cell budding
YDR184C	cell budding
YDR507C	cell budding
YER114C	cell budding
YER133W	cell budding
YER149C	cell budding
YFL034C-B	cell budding
YFL039C	cell budding
YGL054C	cell budding
YGR058W	cell budding
YGR152C	cell budding
YGR221C	cell budding
YHL007C	cell budding
YHR102W	cell budding
YHR111W	cell budding
YIL008W	cell budding
YIL129C	cell budding
YIL138C	cell budding
YIL140W	cell budding
YIR006C	cell budding
YJR092W	cell budding
YKL046C	cell budding
YKL048C	cell budding
YKL092C	cell budding
YKL129C	cell budding
YKL189W	cell budding
YKR020W	cell budding
YKR048C	cell budding
YKR089C	cell budding
YLL021W	cell budding
YLR229C	cell budding
YLR313C	cell budding
YLR319C	cell budding
YLR337C	cell budding
YMR109W	cell budding
YMR200W	cell budding
YMR238W	cell budding
YMR313C	cell budding
YNL079C	cell budding
YNL084C	cell budding
YNL161W	cell budding
YNL243W	cell budding
YNL271C	cell budding
YOR127W	cell budding
YOR326W	cell budding
YOR353C	cell budding
YPR122W	cell budding
YPR165W	cell budding
YBL007C	cell cortex
YBL047C	cell cortex
YBL061C	cell cortex
YBR086C	cell cortex
YBR102C	cell cortex
YBR108W	cell cortex
YBR133C	cell cortex
YBR148W	cell cortex
YBR183W	cell cortex
YBR260C	cell cortex
YCL014W	cell cortex
YCL024W	cell cortex
YCL029C	cell cortex
YCL034W	cell cortex
YCR002C	cell cortex
YCR009C	cell cortex
YCR030C	cell cortex
YCR088W	cell cortex
YDL019C	cell cortex
YDL117W	cell cortex
YDL146W	cell cortex
YDL204W	cell cortex
YDL222C	cell cortex
YDL225W	cell cortex
YDR063W	cell cortex
YDR126W	cell cortex
YDR129C	cell cortex
YDR150W	cell cortex
YDR166C	cell cortex
YDR218C	cell cortex
YDR233C	cell cortex
YDR294C	cell cortex
YDR326C	cell cortex
YDR348C	cell cortex
YDR379W	cell cortex
YDR388W	cell cortex
YDR389W	cell cortex
YDR409W	cell cortex
YDR490C	cell cortex
YDR510W	cell cortex
YEL040W	cell cortex
YER008C	cell cortex
YER149C	cell cortex
YER155C	cell cortex
YFL039C	cell cortex
YGL181W	cell cortex
YGL233W	cell cortex
YGR059W	cell cortex
YGR080W	cell cortex
YGR136W	cell cortex
YGR198W	cell cortex
YGR241C	cell cortex
