ORF	Gene_uniq	cluster	gene_name
YDR532C	YDR532C	9	KRE28
YGL003C	YGL003C	9	CDH1
YGL086W	YGL086W	9	MAD1
YGL173C	YGL173C	9	XRN1
YGR184C	YGR184C	9	UBR1
YGR188C	YGR188C	9	BUB1
YHR129C	YHR129C	9	ARP1
YJL013C	YJL013C	9	MAD3
YJL030W	YJL030W	9	MAD2
YJL148W	YJL148W	9	RPA34
YJR054W	YJR054W	9	KCH1
YJR094C	YJR094C	9	IME1
YJR126C	YJR126C	9	VPS70
YJR135C	YJR135C	9	MCM22
YKR048C	YKR048C	9	NAP1
YKR054C	YKR054C	9	DYN1
YLL049W	YLL049W	9	LDB18
YLR079W	YLR079W	9	SIC1
YLR410W	YLR410W	9	VIP1
YML016C	YML016C	9	PPZ1
YMR078C	YMR078C	9	CTF18
YMR116C	YMR116C	9	ASC1
YMR294W	YMR294W	9	JNM1
YMR299C	YMR299C	9	DYN3
YNL016W	YNL016W	9	PUB1
YNL199C	YNL199C	9	GCR2
YOR014W	YOR014W	9	RTS1
YOR026W	YOR026W	9	BUB3
YOR195W	YOR195W	9	SLK19
YOR269W	YOR269W	9	PAC1
YPL008W	YPL008W	9	CHL1
YPL017C	YPL017C	9	IRC15
YPL018W	YPL018W	9	CTF19
YPL155C	YPL155C	9	KIP2
YPL174C	YPL174C	9	NIP100
YPR046W	YPR046W	9	MCM16
YPR068C	YPR068C	9	HOS1
YPR135W	YPR135W	9	CTF4
YBL103C	YBL103C	8	RTG3
YBR069C	YBR069C	8	TAT1
YBR076W	YBR076W	8	ECM8
YBR221C	YBR221C	8	PDB1
YBR289W	YBR289W	8	SNF5
YCR008W	YCR008W	8	SAT4
YCR053W	YCR053W	8	THR4
YDR073W	YDR073W	8	SNF11
YDR127W	YDR127W	8	ARO1
YDR128W	YDR128W	8	MTC5
YDR144C	YDR144C	8	MKC7
YDR171W	YDR171W	8	HSP42
YDR421W	YDR421W	8	ARO80
YDR463W	YDR463W	8	STP1
YDR490C	YDR490C	8	PKH1
YDR508C	YDR508C	8	GNP1
YER052C	YER052C	8	HOM3
YER061C	YER061C	8	CEM1
YER178W	YER178W	8	PDA1
YFL001W	YFL001W	8	DEG1
YFL049W	YFL049W	8	SWP82
YGL105W	YGL105W	8	ARC1
YGL252C	YGL252C	8	RTG2
YGR058W	YGR058W	8	PEF1
YGR109C	1_YGR109C	8	CLB6
YGR197C	YGR197C	8	SNG1
YGR208W	YGR208W	8	SER2
YHL025W	YHL025W	8	SNF6
YHR067W	YHR067W	8	HTD2
YHR178W	YHR178W	8	STB5
YJL046W	YJL046W	8	AIM22
YJL165C	YJL165C	8	HAL5
YJL176C	YJL176C	8	SWI3
YJR066W	YJR066W	8	TOR1
YJR139C	YJR139C	8	HOM6
YKL176C	YKL176C	8	LST4
YKL205W	YKL205W	8	LOS1
YKR007W	YKR007W	8	MEH1
