ORF	cluster	gene_name
YOR113W	transcription and mRNA processing_GO_2	AZF1
YPL047W	transcription and mRNA processing_GO_2	SGF11
YPL089C	transcription and mRNA processing_GO_2	RLM1
YPL116W	transcription and mRNA processing_GO_2	HOS3
YPL184C	transcription and mRNA processing_GO_2	MRN1
YPR009W	transcription and mRNA processing_GO_2	SUT2
YAL013W	transcription and mRNA processing_GO_1	DEP1
YBR095C	transcription and mRNA processing_GO_1	RXT2
YCR065W	transcription and mRNA processing_GO_1	HCM1
YDL020C	transcription and mRNA processing_GO_1	RPN4
YDL074C	transcription and mRNA processing_GO_1	BRE1
YDL076C	transcription and mRNA processing_GO_1	RXT3
YDR159W	transcription and mRNA processing_GO_1	SAC3
YDR183W	transcription and mRNA processing_GO_1	PLP1
YDR207C	transcription and mRNA processing_GO_1	UME6
YDR289C	transcription and mRNA processing_GO_1	RTT103
YER161C	transcription and mRNA processing_GO_1	SPT2
YGL058W	transcription and mRNA processing_GO_1	RAD6
YGL173C	transcription and mRNA processing_GO_1	XRN1
YGL244W	transcription and mRNA processing_GO_1	RTF1
YHR167W	transcription and mRNA processing_GO_1	THP2
YIL084C	transcription and mRNA processing_GO_1	SDS3
YIR033W	transcription and mRNA processing_GO_1	MGA2
YJR066W	transcription and mRNA processing_GO_1	TOR1
YKL160W	transcription and mRNA processing_GO_1	ELF1
YKR048C	transcription and mRNA processing_GO_1	NAP1
YKR082W	transcription and mRNA processing_GO_1	NUP133
YKR095W	transcription and mRNA processing_GO_1	MLP1
YLR418C	transcription and mRNA processing_GO_1	CDC73
YML062C	transcription and mRNA processing_GO_1	MFT1
YML094W	transcription and mRNA processing_GO_1	GIM5
YMR263W	transcription and mRNA processing_GO_1	SAP30
YNL097C	transcription and mRNA processing_GO_1	PHO23
YNL153C	transcription and mRNA processing_GO_1	GIM3
YOL004W	transcription and mRNA processing_GO_1	SIN3
YPL139C	transcription and mRNA processing_GO_1	UME1
YAL002W	Golgi and ER_GO_4	VPS8
YBL078C	Golgi and ER_GO_4	ATG8
YDR126W	Golgi and ER_GO_4	SWF1
YHR012W	Golgi and ER_GO_4	VPS29
